area_nm,metric,value
강원,숙소,625
강원,쇼핑,280
강원,음식점,1734
경기,음식점,3803
경기,숙소,343
경기,쇼핑,2330
경남,쇼핑,356
경남,음식점,1271
경남,숙소,331
경북,숙소,296
경북,쇼핑,160
경북,음식점,1061
광주,음식점,210
광주,쇼핑,81
광주,숙소,42
대구,음식점,371
대구,숙소,43
대구,쇼핑,331
대전,숙소,18
대전,음식점,419
대전,쇼핑,99
부산,숙소,131
부산,음식점,643
부산,쇼핑,864
서울,음식점,2669
서울,쇼핑,3174
서울,숙소,339
세종,숙소,5
세종,쇼핑,9
세종,음식점,103
울산,쇼핑,85
울산,숙소,28
울산,음식점,266
인천,쇼핑,405
인천,음식점,751
인천,숙소,111
전남,숙소,292
전남,음식점,982
전남,쇼핑,234
전북,숙소,255
전북,음식점,668
전북,쇼핑,140
제주,쇼핑,353
제주,음식점,970
제주,숙소,223
충남,숙소,219
충남,쇼핑,188
충남,음식점,688
충북,숙소,64
충북,쇼핑,126
충북,음식점,504
