area_nm,visit_dt,visitor_sum,tourist_type
제주,2022-06-02,837432,내국인
제주,2022-10-24,369,외국인
충남,2022-08-05,2107635,내국인
충남,2022-12-23,1785439,내국인
충남,2023-02-08,1141,외국인
충남,2022-06-06,2239906,내국인
충남,2022-07-22,1836,외국인
충남,2022-11-06,863,외국인
충남,2022-12-14,816,외국인
충남,2020-06-05,1873934,내국인
충남,2020-10-30,1952407,내국인
충남,2020-11-17,1800469,내국인
충남,2021-09-22,2074171,내국인
충남,2021-09-25,2150845,내국인
충남,2021-10-03,757,외국인
충남,2021-10-18,1866439,내국인
충남,2021-11-24,1845419,내국인
충남,2022-01-24,1772398,내국인
충남,2022-04-02,2185690,내국인
충남,2022-04-10,2258823,내국인
충남,2022-08-03,2016564,내국인
충남,2022-08-09,1874926,내국인
충남,2022-09-05,1793803,내국인
충남,2022-09-25,2391278,내국인
충남,2022-11-29,1451,외국인
충남,2022-12-06,1065,외국인
충남,2023-01-29,1049,외국인
충남,2023-02-24,975,외국인
충남,2022-04-19,1894706,내국인
충남,2022-10-01,618,외국인
충남,2022-11-18,2223367,내국인
충남,2022-11-25,2232839,내국인
충남,2023-04-27,1399,외국인
충북,2021-10-17,294,외국인
충북,2022-04-06,1417487,내국인
충북,2022-04-21,384,외국인
충북,2022-05-03,566,외국인
충북,2022-06-08,1530799,내국인
충북,2022-06-27,1516479,내국인
충북,2022-09-15,1626128,내국인
충북,2022-10-19,1588018,내국인
충북,2022-10-27,1628790,내국인
충북,2022-11-25,571,외국인
충북,2023-03-10,1659908,내국인
충북,2023-03-30,1703506,내국인
충북,2022-05-17,724,외국인
충북,2022-05-31,1639436,내국인
충북,2022-07-21,1538498,내국인
충북,2023-03-25,1837420,내국인
충북,2023-04-01,777,외국인
충북,2023-04-18,844,외국인
충북,2020-09-08,1320715,내국인
충북,2020-10-16,181,외국인
충북,2020-11-25,1355995,내국인
충북,2020-11-30,309,외국인
충북,2021-02-24,226,외국인
충북,2021-04-03,328,외국인
충북,2021-04-29,415,외국인
충북,2021-05-20,182,외국인
충북,2021-06-30,309,외국인
충북,2021-07-22,257,외국인
충북,2021-07-25,230,외국인
충북,2021-07-28,252,외국인
충북,2021-10-22,340,외국인
충북,2022-06-19,1696333,내국인
충북,2022-07-19,1566076,내국인
충북,2022-09-02,508,외국인
충북,2023-03-15,598,외국인
충북,2023-04-02,751,외국인
충북,2023-04-26,975,외국인
충북,2023-02-17,1536394,내국인
충북,2022-04-15,1564046,내국인
충북,2022-04-16,1726705,내국인
충북,2022-07-28,1045,외국인
충북,2022-08-18,445,외국인
충북,2023-01-25,1371482,내국인
충북,2020-05-30,288,외국인
충북,2020-06-13,1541406,내국인
충북,2020-07-08,1351096,내국인
충북,2020-10-07,179,외국인
충북,2020-12-01,343,외국인
충북,2021-01-04,1084674,내국인
충북,2021-02-25,1329725,내국인
충북,2021-05-29,1639463,내국인
충북,2021-08-06,1444513,내국인
충북,2021-09-05,278,외국인
충북,2021-12-19,378,외국인
충북,2022-01-26,1402741,내국인
충북,2022-03-25,291,외국인
충북,2022-05-02,1473851,내국인
충북,2022-06-15,1034,외국인
충북,2022-07-14,1543196,내국인
충북,2022-08-02,966,외국인
충북,2022-11-01,1543346,내국인
충북,2023-01-04,398,외국인
충북,2023-02-18,1634036,내국인
충북,2023-03-22,1628200,내국인
충북,2023-04-25,867,외국인
충북,2023-02-21,463,외국인
충북,2020-06-15,164,외국인
충북,2020-06-19,163,외국인
충북,2020-09-06,1242322,내국인
충북,2021-02-18,1234090,내국인
충북,2021-05-19,1553897,내국인
충북,2022-02-27,1412010,내국인
충북,2022-03-28,310,외국인
충북,2022-06-09,1535485,내국인
충북,2022-09-26,523,외국인
충북,2022-10-12,562,외국인
