FACILITY_ID,FACILITY_TITLE,MAP_X,MAP_Y,ADDRESS,AREA,CITY
11355,래미안 갤러리,127.12006060799999,37.4792280418,서울특별시 송파구 충민로 17 (문정동),서울,송파구
11913,롯데뮤지엄,127.1025779177,37.512623851,서울특별시 송파구 올림픽로 300 (신천동),서울,송파구
11972,롯데월드 가든스테이지,127.0979394903,37.511229484699996,서울특별시 송파구 올림픽로 240 (잠실동),서울,송파구
11973,롯데월드 민속박물관,127.0979394903,37.511229484699996,서울특별시 송파구 올림픽로 240 (잠실동) 롯데월드 쇼핑몰 3층,서울,송파구
11976,롯데월드 아쿠아리움,127.10428328959999,37.5136209882,서울특별시 송파구 올림픽로 300 롯데월드 몰 B1 (신천동),서울,송파구
14336,몽촌역사관,127.12431456729999,37.5218287295,서울특별시 송파구 올림픽로 424 (방이동),서울,송파구
20433,샤롯데씨어터,127.0976311526,37.5123821225,서울특별시 송파구 올림픽로 240 롯데월드 ,서울,송파구
20826,서울놀이마당,127.0981006298,37.5097129968,서울특별시 송파구 잠실로 124 서울놀이마당 ,서울,송파구
20969,서울특별시교육청 송파도서관,127.1348670039,37.5000481143,서울특별시 송파구 동남로 263 송파도서관 ,서울,송파구
22178,소마미술관,127.1229758237,37.5209871362,서울특별시 송파구 올림픽로 424 (방이동),서울,송파구
22904,송파문화원,127.0760526362,37.5096931578,서울특별시 송파구 올림픽로 44 (잠실동),서울,송파구
22906,송파여성문화회관,127.1097385677,37.50592198,서울특별시 송파구 백제고분로42길 5 (송파동),서울,송파구
22907,송파책박물관,127.1044003624,37.4989365831,서울특별시 송파구 송파대로37길 77 (가락동),서울,송파구
31335,우리금융아트홀,127.12431456729999,37.5218287295,서울특별시 송파구 올림픽로 424 (방이동),서울,송파구
44927,한미사진미술관,127.11392677389999,37.5165236019,서울특별시 송파구 위례성대로 14 (방이동),서울,송파구
45004,한생연인간과로봇과학관,127.08702657229999,37.5120153076,서울특별시 송파구 올림픽로 145 (잠실동) 리센츠상가 5층,서울,송파구
45145,한성백제박물관,127.12062620040001,37.5152655358,서울특별시 송파구 위례성대로 71 (방이동),서울,송파구
655,강남문화원,127.0320236842,37.4964911212,서울특별시 강남구 테헤란로8길 36 ,서울,강남구
1171,갤러리 S.P,126.9943120449,37.5383633594,서울특별시 용산구 회나무로44가길 30 (이태원동),서울,강남구
1179,갤러리 마노,127.0365891542,37.5240907763,서울특별시 강남구 압구정로46길 71 (신사동),서울,강남구
1183,갤러리 서림,127.0560652706,37.520138807600006,서울특별시 강남구 학동로 523 ,서울,강남구
1189,갤러리 엠,127.0458882102,37.5275211007,서울특별시 강남구 압구정로71길 14 (청담동),서울,강남구
1191,갤러리 원,127.0458882102,37.5275211007,서울특별시 강남구 압구정로71길 14 ,서울,강남구
1192,갤러리 인데코,127.0313117475,37.527948566599996,서울특별시 강남구 압구정로36길 8 (신사동),서울,강남구
1193,갤러리 피치,127.0501323005,37.5263824203,서울특별시 강남구 도산대로87길 25 (청담동),서울,강남구
