area_name,city_name,facility_type,facility_count
강원,강릉시,숙박,61
강원,강릉시,관광지,126
강원,강릉시,여행코스,8
강원,강릉시,문화시설,24
강원,강릉시,레포츠,63
강원,강릉시,음식점,367
강원,강릉시,쇼핑,89
강원,고성군,레포츠,32
강원,고성군,쇼핑,5
강원,고성군,숙박,17
강원,고성군,관광지,85
강원,고성군,여행코스,4
강원,고성군,문화시설,9
강원,고성군,음식점,56
강원,동해시,음식점,32
강원,동해시,쇼핑,9
강원,동해시,숙박,18
강원,동해시,관광지,49
강원,동해시,여행코스,5
강원,동해시,문화시설,1
강원,동해시,레포츠,11
강원,삼척시,쇼핑,6
강원,삼척시,숙박,19
강원,삼척시,관광지,103
강원,삼척시,여행코스,5
강원,삼척시,문화시설,8
강원,삼척시,레포츠,31
강원,삼척시,음식점,41
강원,속초시,쇼핑,15
강원,속초시,음식점,130
강원,속초시,여행코스,3
강원,속초시,숙박,53
강원,속초시,관광지,63
강원,속초시,문화시설,13
강원,속초시,레포츠,17
강원,양구군,쇼핑,2
강원,양구군,여행코스,2
강원,양구군,숙박,7
강원,양구군,관광지,48
강원,양구군,음식점,19
강원,양구군,문화시설,7
강원,양구군,레포츠,18
강원,양양군,쇼핑,2
강원,양양군,숙박,50
강원,양양군,관광지,112
강원,양양군,음식점,64
강원,양양군,레포츠,59
강원,양양군,문화시설,3
강원,양양군,여행코스,3
강원,영월군,관광지,77
강원,영월군,문화시설,22
강원,영월군,레포츠,126
강원,영월군,쇼핑,5
강원,영월군,음식점,38
강원,영월군,숙박,19
강원,원주시,음식점,138
강원,원주시,쇼핑,75
강원,원주시,숙박,17
강원,원주시,여행코스,1
강원,원주시,관광지,86
강원,원주시,레포츠,64
강원,원주시,문화시설,15
강원,인제군,레포츠,48
강원,인제군,쇼핑,1
강원,인제군,숙박,20
강원,인제군,관광지,62
강원,인제군,음식점,26
강원,인제군,여행코스,3
강원,인제군,문화시설,10
강원,정선군,숙박,36
강원,정선군,문화시설,7
강원,정선군,관광지,58
강원,정선군,쇼핑,7
강원,정선군,음식점,32
강원,정선군,레포츠,37
강원,철원군,관광지,68
강원,철원군,여행코스,4
강원,철원군,음식점,55
강원,철원군,문화시설,1
강원,철원군,레포츠,36
강원,철원군,쇼핑,4
강원,철원군,숙박,21
강원,춘천시,문화시설,28
강원,춘천시,여행코스,2
강원,춘천시,레포츠,63
강원,춘천시,숙박,30
강원,춘천시,음식점,168
강원,춘천시,관광지,103
강원,춘천시,쇼핑,39
강원,태백시,숙박,6
강원,태백시,여행코스,1
강원,태백시,관광지,47
강원,태백시,음식점,18
강원,태백시,문화시설,6
강원,태백시,레포츠,13
강원,태백시,쇼핑,5
강원,평창군,숙박,177
강원,평창군,여행코스,1
강원,평창군,음식점,416
강원,평창군,관광지,133
강원,평창군,쇼핑,6
강원,평창군,문화시설,16
강원,평창군,레포츠,78
강원,홍천군,관광지,52
강원,홍천군,숙박,39
강원,홍천군,쇼핑,3
강원,홍천군,여행코스,1
강원,홍천군,음식점,45
강원,홍천군,레포츠,95
강원,홍천군,문화시설,5
강원,화천군,레포츠,23
강원,화천군,숙박,20
강원,화천군,관광지,62
강원,화천군,쇼핑,3
강원,화천군,문화시설,7
강원,화천군,여행코스,5
강원,화천군,음식점,18
강원,횡성군,숙박,15
강원,횡성군,관광지,36
강원,횡성군,여행코스,1
강원,횡성군,음식점,71
강원,횡성군,쇼핑,4
강원,횡성군,문화시설,9
강원,횡성군,레포츠,52
경기,가평군,여행코스,6
경기,가평군,숙박,27
경기,가평군,관광지,80
경기,가평군,음식점,147
경기,가평군,문화시설,10
경기,가평군,레포츠,198
경기,가평군,쇼핑,5
경기,고양시,문화시설,20
경기,고양시,레포츠,28
경기,고양시,숙박,12
경기,고양시,여행코스,1
경기,고양시,관광지,71
경기,고양시,쇼핑,194
경기,고양시,음식점,317
경기,과천시,음식점,28
경기,과천시,관광지,17
경기,과천시,문화시설,11
경기,과천시,레포츠,4
경기,과천시,쇼핑,3
경기,광명시,숙박,2
경기,광명시,관광지,10
경기,광명시,여행코스,3
경기,광명시,음식점,37
경기,광명시,문화시설,6
경기,광명시,쇼핑,81
경기,광명시,레포츠,4
경기,광주시,레포츠,25
경기,광주시,문화시설,10
경기,광주시,쇼핑,5
경기,광주시,숙박,3
경기,광주시,관광지,57
경기,광주시,음식점,189
경기,구리시,쇼핑,20
경기,구리시,숙박,3
경기,구리시,관광지,15
경기,구리시,문화시설,2
경기,구리시,레포츠,5
경기,구리시,음식점,52
경기,군포시,관광지,15
경기,군포시,음식점,15
경기,군포시,문화시설,2
경기,군포시,레포츠,4
경기,군포시,쇼핑,9
경기,김포시,문화시설,16
경기,김포시,쇼핑,218
경기,김포시,여행코스,1
경기,김포시,레포츠,25
경기,김포시,숙박,15
경기,김포시,관광지,38
경기,김포시,음식점,140
경기,남양주시,쇼핑,16
경기,남양주시,숙박,2
경기,남양주시,관광지,54
경기,남양주시,음식점,192
경기,남양주시,여행코스,5
경기,남양주시,문화시설,14
경기,남양주시,레포츠,38
경기,동두천시,음식점,24
경기,동두천시,쇼핑,6
경기,동두천시,여행코스,1
경기,동두천시,관광지,9
경기,동두천시,문화시설,5
경기,동두천시,레포츠,13
경기,동두천시,숙박,4
경기,부천시,쇼핑,78
경기,부천시,문화시설,14
경기,부천시,여행코스,2
경기,부천시,관광지,27
경기,부천시,음식점,101
경기,부천시,레포츠,4
경기,부천시,숙박,8
경기,성남시,쇼핑,102
경기,성남시,음식점,224
경기,성남시,문화시설,21
경기,성남시,숙박,4
경기,성남시,관광지,47
경기,성남시,레포츠,17
경기,수원시,숙박,40
경기,수원시,관광지,67
경기,수원시,여행코스,1
경기,수원시,음식점,237
경기,수원시,문화시설,30
