FACILITY_ID,FACILITY_TITLE,MAP_X,MAP_Y,ADDRESS,AREA,CITY
11393,러버덕 프로젝트 서울 2022,127.1042611168,37.5119517366,서울특별시 송파구 송파나루길 206 송파관광정보센터 ,서울,송파구
11970,롯데월드 miracle winter,127.0981394766,37.511068396,서울특별시 송파구 올림픽로 240 ,서울,송파구
20783,서울 파크 뮤직 페스티벌,127.1150682209,37.5206092598,서울특별시 송파구 올림픽로 424 올림픽공원 ,서울,송파구
20937,서울재즈페스티벌,127.1224425827,37.519445638600004,서울특별시 송파구 올림픽로 424 (방이동),서울,송파구
21217,석촌호수 벚꽃축제,127.1051610534,37.5112990512,서울특별시 송파구 신천동 ,서울,송파구
21218,"석촌호수의 가을과 겨울, 그리고 루미나리에",127.1042611168,37.5119517366,서울특별시 송파구 송파나루길 206 송파관광정보센터 ,서울,송파구
22903,송파둘레길 벚꽃나들이,127.1066830358,37.5148625533,서울특별시 송파구 올림픽로 326 송파구청 ,서울,송파구
24093,스포츠주간기념 국민체력100과 다시 즐겨 봄,127.1169153279,37.518753953200005,서울특별시 송파구 방이동 ,서울,송파구
25613,아이가 행복입니다,127.1025668077,37.5126099637,서울특별시 송파구 올림픽로 300 (신천동),서울,송파구
38568,청년의 날,127.1164153676,37.5189539202,서울특별시 송파구 방이동 올림픽공원 평화의 광장,서울,송파구
38966,"청춘, 커피페스티벌",127.10403051709999,37.5142459111,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 ,서울,송파구
38983,청춘페스티벌,127.1150682209,37.5206092598,서울특별시 송파구 올림픽로 424 올림픽공원 ,서울,송파구
44006,하나증권 테니스 페스티벌 in Olympic park,127.1150682209,37.5206092598,서울특별시 송파구 올림픽로 424 올림픽공원 ,서울,송파구
44738,한국국제걷기대회,127.1249713174,37.477669978099996,서울특별시 송파구 충민로 66 ,서울,송파구
45144,한성백제문화제,127.1066830358,37.5148625533,서울특별시 송파구 올림픽로 326 송파구청 ,서울,송파구
48171,힐링 라디오(소통·공감 토크쇼) in ‘사각사각 가을어떰’,127.08675421379999,37.5176785349,서울특별시 송파구 한가람로 65 한강사업본부 잠실안내센터 ,서울,송파구
48318,2022 사람사랑 생명사랑 밤길걷기 LiveWALK,127.1165319275,37.522334086,서울특별시 송파구 올림픽로 448 서울올림픽파크텔 ,서울,송파구
48347,2022 한강크로스스위밍챌린지,127.08675421379999,37.5176785349,서울특별시 송파구 한가람로 65 한강사업본부 잠실안내센터 ,서울,송파구
48366,2023 LOTTE WORLD TOWER SKY RUN,127.10403051709999,37.5142459111,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 ,서울,송파구
50206,﻿PEACE BLOCK(평화 블록) - ‘평화통일’ 기원 11월 한강공원 시민 참여 행사,127.08675421379999,37.5176785349,서울특별시 송파구 한가람로 65 한강사업본부 잠실안내센터 ,서울,송파구
665,강남페스티벌,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
4086,국제차문화대전,127.0594124394,37.5112648981,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
8818,대한민국 4차산업혁명 페스티벌 2022,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
15876,반려동물라이프스타일페어 (반려동물건강박람회),127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
20814,서울국제가구 및 인테리어산업대전 : 소펀&라이프쇼,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
20815,서울국제관광전,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
20845,서울디자인페스티벌,127.0594429796,37.5117148467,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
20854,서울릴랙스위크,127.0707673919,37.4960890861,서울특별시 강남구 남부순환로 3104 SETEC ,서울,강남구
20935,서울일러스트레이션페어V.15,127.0462413481,37.513681047199995,서울특별시 강남구 봉은사로63길 35 (삼성동),서울,강남구
20950,서울커피페스티벌,127.0594429796,37.5117148467,"서울특별시 강남구  영동대로 (513, 코엑스) ",서울,강남구
21367,선인장페스티벌,127.0594429796,37.5117148467,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
28332,영동대로 카운트다운,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
35890,제 10회 서울국제불교박람회,127.07198118059999,37.4957363721,서울특별시 강남구 남부순환로 3104 (대치동),서울,강남구
35896,제11회 월드커피리더스포럼,127.0594429796,37.5117148467,"서울특별시 강남구  영동대로 (513, 코엑스) ",서울,강남구
35901,제15차 세계산림총회,127.0594429796,37.5117148467,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
35906,제17회 서울국제식품산업전,127.0587624599,37.5126286175,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
35938,제37회 서울국제화장품미용산업박람회 (코스모뷰티서울 2023),127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
35943,제3회 아세안 영화주간,126.9721437331,37.5697009867,서울특별시 종로구 새문안로 68 흥국생명빌딩 ,서울,강남구
35959,제7회 베지노믹스페어 비건페스타,127.07198118059999,37.4957363721,서울특별시 강남구 남부순환로 3104 (대치동),서울,강남구
40487,캐릭터 라이선싱 페어 2022,127.05918744659999,37.5117592813,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
40842,코엑스 윈터 페스티벌 (Coex Winter Festival),127.05918744659999,37.5117592813,서울특별시 강남구 영동대로 513 ,서울,강남구
44739,한국국제아트페어,127.05913189450001,37.5118092746,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
44971,한복상점,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
45340,한일축제한마당 in Seoul,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
48284,2021 서울아트쇼,127.05918744659999,37.5117592813,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
48289,2022 SW교육 페스티벌,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
48306,2022 대한민국 산업기술 R&D대전,127.0594429796,37.5117148467,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
48312,2022 보드게임페스타,127.0707673919,37.4960890861,서울특별시 강남구 남부순환로 3104 SETEC ,서울,강남구
48324,2022 서울카페쇼,127.05918744659999,37.5117592813,서울특별시 강남구 영동대로 513 ,서울,강남구
48325,2022 서울커피엑스포,127.059342986,37.5118037234,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
48369,2023 강남디자인위크,127.02251579889999,37.5112531257,서울특별시 강남구 논현동 논현동 가구거리,서울,강남구
48382,2023 보드게임콘,127.0707673919,37.4960890861,서울특별시 강남구 남부순환로 3104 SETEC ,서울,강남구
48388,2023 서울국제도서전,127.0594429796,37.5117148467,"서울특별시 강남구  영동대로 (513, 코엑스) ",서울,강남구
48389,2023 서울국제주류&와인박람회,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
48793,BLOSSOM THE HOPE,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
48810,C.P. COMPANY ARCHIVE EXHIBITION SEOUL,127.035692025,37.5236769194,서울특별시 강남구 신사동 650-1 ,서울,강남구
49047,G-KPOP콘서트,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
49192,K-Metaverse Festival & K-Metaverse Expo 2022,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
49197,K-비건페어 인 서울 2023,127.0594429796,37.5117148467,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
49198,K-일러스트레이션페어 서울 2024,127.059217995,37.5119175967,서울특별시 강남구 영동대로 513 코엑스 ,서울,강남구
49201,K-핸드메이드페어 2023,127.05913189450001,37.5118092746,서울특별시 강남구 영동대로 513 (삼성동),서울,강남구
1357,거리예술 캬라반 ‘가을’,126.97632106350001,37.572061898499996,서울특별시 종로구 세종대로 175 ,서울,종로구
1734,경복궁 별빛야행,126.9770319156,37.5788944508,서울특별시 종로구 사직로 161 ,서울,종로구
1736,경복궁 생과방,126.9770319156,37.5788944508,서울특별시 종로구 사직로 161 경복궁 ,서울,종로구
3366,광화문국제아트페스티벌,126.97683768,37.5721757834,서울특별시 종로구 세종대로 175 ,서울,종로구
3370,광화원 도심 속 미디어 정원,126.97308791530001,37.575916948,서울특별시 종로구 사직로 130 3호선 경복궁역 ,서울,종로구
3710,구세군과 함께하는 돈의문성탄절,126.96854130690001,37.5688760175,서울특별시 종로구 송월길 14-3 국도빌딩 ,서울,종로구
3948,국립민속박물관 어린이날 한마당,126.9789372085,37.5820413408,서울특별시 종로구 삼청로 37 (세종로),서울,종로구
3949,국립민속박물관 정월대보름 한마당,126.97885944,37.5819774581,서울특별시 종로구 삼청로 37 (세종로),서울,종로구
4246,궁중과 사대부가의 전통음식축제,126.986825555,37.575822761,서울특별시 종로구 삼일대로 464 운현궁 ,서울,종로구
4247,궁중문화축전,126.9769930325,37.5788222356,서울특별시 종로구 사직로 161 ,서울,종로구
6200,남산봉수의식 등 전통문화 재현행사,126.9836898995,37.5698206245,서울특별시 종로구 종로 54 보신각 ,서울,종로구
7291,늘근도둑 이야기,127.0031099912,37.5825444946,서울특별시 종로구 대학로12길 22 ,서울,종로구
7798,단종비 정순왕후 문화제,127.0181476492,37.5776314468,서울특별시 종로구 동망산길 150 숭인재(숭인공원관리사무소) ,서울,종로구
8813,대학로문화축제,127.00238789069999,37.5805669329,서울특별시 종로구 대학로 104 ,서울,종로구
8837,대한민국무용대상,127.00298781629999,37.5812640855,서울특별시 종로구 대학로8길 7 한국문예회관 ,서울,종로구
9822,돈의Moon나이트,126.9685385292,37.568878795500005,서울특별시 종로구 송월길 14-3 국도빌딩 ,서울,종로구
9823,돈의문골목시장,126.9685385292,37.568878795500005,서울특별시 종로구 송월길 14-3 국도빌딩 ,서울,종로구
13955,모두하나대축제,126.9638739574,37.509810575,서울특별시 동작구 현충로 75 원불교100년기념관 및 역사문화기념관 1층,서울,종로구
14359,묘현례,126.9951471543,37.5710345779,서울특별시 종로구 종로 157 종묘공원 ,서울,종로구
14828,문학주간 2022,127.00238789069999,37.5805669329,서울특별시 종로구 대학로 104 ,서울,종로구
