index,occur_year,area,crime_category,crime_detail,crime_count
0,2019,서울,재산범죄,절도,42362
1,2019,서울,재산범죄,장물,164
2,2019,서울,재산범죄,사기,61178
3,2019,서울,재산범죄,횡령,17648
4,2019,서울,재산범죄,배임,1489
5,2019,서울,재산범죄,손괴,10723
6,2019,서울,강력범죄(흉악),살인,160
7,2019,서울,강력범죄(흉악),강도,157
8,2019,서울,강력범죄(흉악),방화,252
9,2019,서울,강력범죄(흉악),성폭력,9370
10,2019,서울,강력범죄(폭력),폭행,34070
11,2019,서울,강력범죄(폭력),상해,5079
12,2019,서울,강력범죄(폭력),협박,3950
13,2019,서울,강력범죄(폭력),공갈,1138
14,2019,서울,강력범죄(폭력),약취와 유인,64
15,2019,서울,강력범죄(폭력),체포와 감금,254
16,2019,서울,강력범죄(폭력),폭력행위등(손괴강요주거침입등),163
17,2019,서울,강력범죄(폭력),폭력행위등(단체등의구성 활동),27
18,2019,서울,위조범죄,위조범죄,4121
19,2019,부산,재산범죄,절도,14628
20,2019,부산,재산범죄,장물,236
21,2019,부산,재산범죄,사기,27083
22,2019,부산,재산범죄,횡령,4036
23,2019,부산,재산범죄,배임,478
24,2019,부산,재산범죄,손괴,3846
25,2019,부산,강력범죄(흉악),살인,69
26,2019,부산,강력범죄(흉악),강도,86
27,2019,부산,강력범죄(흉악),방화,97
28,2019,부산,강력범죄(흉악),성폭력,2065
29,2019,부산,강력범죄(폭력),폭행,11263
30,2019,부산,강력범죄(폭력),상해,3748
31,2019,부산,강력범죄(폭력),협박,1504
32,2019,부산,강력범죄(폭력),공갈,420
33,2019,부산,강력범죄(폭력),약취와 유인,16
34,2019,부산,강력범죄(폭력),체포와 감금,64
35,2019,부산,강력범죄(폭력),폭력행위등(손괴강요주거침입등),40
36,2019,부산,강력범죄(폭력),폭력행위등(단체등의구성 활동),17
37,2019,부산,위조범죄,위조범죄,1205
38,2019,대구,재산범죄,절도,9272
39,2019,대구,재산범죄,장물,18
40,2019,대구,재산범죄,사기,15389
41,2019,대구,재산범죄,횡령,2746
42,2019,대구,재산범죄,배임,229
43,2019,대구,재산범죄,손괴,2800
44,2019,대구,강력범죄(흉악),살인,42
45,2019,대구,강력범죄(흉악),강도,36
46,2019,대구,강력범죄(흉악),방화,61
47,2019,대구,강력범죄(흉악),성폭력,1290
48,2019,대구,강력범죄(폭력),폭행,7007
49,2019,대구,강력범죄(폭력),상해,2441
50,2019,대구,강력범죄(폭력),협박,955
51,2019,대구,강력범죄(폭력),공갈,191
52,2019,대구,강력범죄(폭력),약취와 유인,2
53,2019,대구,강력범죄(폭력),체포와 감금,85
54,2019,대구,강력범죄(폭력),폭력행위등(손괴강요주거침입등),41
55,2019,대구,강력범죄(폭력),폭력행위등(단체등의구성 활동),4
56,2019,대구,위조범죄,위조범죄,829
57,2019,인천,재산범죄,절도,10149
58,2019,인천,재산범죄,장물,186
59,2019,인천,재산범죄,사기,16958
60,2019,인천,재산범죄,횡령,4319
61,2019,인천,재산범죄,배임,262
62,2019,인천,재산범죄,손괴,3480
63,2019,인천,강력범죄(흉악),살인,51
64,2019,인천,강력범죄(흉악),강도,60
65,2019,인천,강력범죄(흉악),방화,72
66,2019,인천,강력범죄(흉악),성폭력,2093
67,2019,인천,강력범죄(폭력),폭행,12592
68,2019,인천,강력범죄(폭력),상해,1814
69,2019,인천,강력범죄(폭력),협박,1319
70,2019,인천,강력범죄(폭력),공갈,425
71,2019,인천,강력범죄(폭력),약취와 유인,12
72,2019,인천,강력범죄(폭력),체포와 감금,215
73,2019,인천,강력범죄(폭력),폭력행위등(손괴강요주거침입등),52
74,2019,인천,강력범죄(폭력),폭력행위등(단체등의구성 활동),2
75,2019,인천,위조범죄,위조범죄,1127
76,2019,광주,재산범죄,절도,5018
77,2019,광주,재산범죄,장물,9
78,2019,광주,재산범죄,사기,9079
79,2019,광주,재산범죄,횡령,1888
80,2019,광주,재산범죄,배임,233
81,2019,광주,재산범죄,손괴,1529
82,2019,광주,강력범죄(흉악),살인,22
83,2019,광주,강력범죄(흉악),강도,30
84,2019,광주,강력범죄(흉악),방화,42
85,2019,광주,강력범죄(흉악),성폭력,855
86,2019,광주,강력범죄(폭력),폭행,5351
87,2019,광주,강력범죄(폭력),상해,1153
88,2019,광주,강력범죄(폭력),협박,593
89,2019,광주,강력범죄(폭력),공갈,147
90,2019,광주,강력범죄(폭력),약취와 유인,4
91,2019,광주,강력범죄(폭력),체포와 감금,65
92,2019,광주,강력범죄(폭력),폭력행위등(손괴강요주거침입등),18
93,2019,광주,강력범죄(폭력),폭력행위등(단체등의구성 활동),5
94,2019,광주,위조범죄,위조범죄,644
95,2019,대전,재산범죄,절도,5905
96,2019,대전,재산범죄,장물,15
97,2019,대전,재산범죄,사기,9583
98,2019,대전,재산범죄,횡령,1336
99,2019,대전,재산범죄,배임,132
100,2019,대전,재산범죄,손괴,1491
101,2019,대전,강력범죄(흉악),살인,23
102,2019,대전,강력범죄(흉악),강도,25
103,2019,대전,강력범죄(흉악),방화,48
104,2019,대전,강력범죄(흉악),성폭력,1027
105,2019,대전,강력범죄(폭력),폭행,4872
106,2019,대전,강력범죄(폭력),상해,1052
107,2019,대전,강력범죄(폭력),협박,684
108,2019,대전,강력범죄(폭력),공갈,168
109,2019,대전,강력범죄(폭력),약취와 유인,5
110,2019,대전,강력범죄(폭력),체포와 감금,44
111,2019,대전,강력범죄(폭력),폭력행위등(손괴강요주거침입등),18
112,2019,대전,강력범죄(폭력),폭력행위등(단체등의구성 활동),0
113,2019,대전,위조범죄,위조범죄,507
114,2019,울산,재산범죄,절도,2181
115,2019,울산,재산범죄,장물,8
116,2019,울산,재산범죄,사기,4411
117,2019,울산,재산범죄,횡령,457
118,2019,울산,재산범죄,배임,70
119,2019,울산,재산범죄,손괴,818
120,2019,울산,강력범죄(흉악),살인,17
121,2019,울산,강력범죄(흉악),강도,14
122,2019,울산,강력범죄(흉악),방화,14
123,2019,울산,강력범죄(흉악),성폭력,335
124,2019,울산,강력범죄(폭력),폭행,2001
125,2019,울산,강력범죄(폭력),상해,764
126,2019,울산,강력범죄(폭력),협박,270
127,2019,울산,강력범죄(폭력),공갈,54
128,2019,울산,강력범죄(폭력),약취와 유인,1
129,2019,울산,강력범죄(폭력),체포와 감금,21
130,2019,울산,강력범죄(폭력),폭력행위등(손괴강요주거침입등),11
