,CODE,CODE_CATEGORY,CODE_NM,PARENT_CODE
0,1,CITY,강남구,1
1,2,CITY,강동구,1
2,3,CITY,강북구,1
3,4,CITY,강서구,1
4,5,CITY,관악구,1
5,6,CITY,광진구,1
6,7,CITY,구로구,1
7,8,CITY,금천구,1
8,9,CITY,노원구,1
9,10,CITY,도봉구,1
10,11,CITY,동대문구,1
11,12,CITY,동작구,1
12,13,CITY,마포구,1
13,14,CITY,서대문구,1
14,15,CITY,서초구,1
15,16,CITY,성동구,1
16,17,CITY,성북구,1
17,18,CITY,송파구,1
18,19,CITY,양천구,1
19,20,CITY,영등포구,1
20,21,CITY,용산구,1
21,22,CITY,은평구,1
22,23,CITY,종로구,1
23,24,CITY,중구,1
24,25,CITY,중랑구,1
25,1,CITY,강화군,2
26,2,CITY,계양구,2
27,3,CITY,미추홀구,2
28,4,CITY,남동구,2
29,5,CITY,동구,2
30,6,CITY,부평구,2
31,7,CITY,서구,2
32,8,CITY,연수구,2
33,9,CITY,옹진군,2
34,10,CITY,중구,2
35,1,CITY,대덕구,3
36,2,CITY,동구,3
37,3,CITY,서구,3
38,4,CITY,유성구,3
39,5,CITY,중구,3
40,1,CITY,남구,4
41,2,CITY,달서구,4
42,3,CITY,달성군,4
43,4,CITY,동구,4
44,5,CITY,북구,4
45,6,CITY,서구,4
46,7,CITY,수성구,4
47,8,CITY,중구,4
48,1,CITY,광산구,5
49,2,CITY,남구,5
50,3,CITY,동구,5
51,4,CITY,북구,5
52,5,CITY,서구,5
53,1,CITY,강서구,6
54,2,CITY,금정구,6
55,3,CITY,기장군,6
56,4,CITY,남구,6
57,5,CITY,동구,6
58,6,CITY,동래구,6
59,7,CITY,부산진구,6
60,8,CITY,북구,6
61,9,CITY,사상구,6
62,10,CITY,사하구,6
63,11,CITY,서구,6
64,12,CITY,수영구,6
65,13,CITY,연제구,6
66,14,CITY,영도구,6
67,15,CITY,중구,6
68,16,CITY,해운대구,6
69,1,CITY,중구,7
70,2,CITY,남구,7
71,3,CITY,동구,7
72,4,CITY,북구,7
73,5,CITY,울주군,7
74,1,CITY,세종특별자치시,8
75,1,CITY,가평군,31
76,2,CITY,고양시,31
77,3,CITY,과천시,31
78,4,CITY,광명시,31
79,5,CITY,광주시,31
80,6,CITY,구리시,31
81,7,CITY,군포시,31
82,8,CITY,김포시,31
83,9,CITY,남양주시,31
84,10,CITY,동두천시,31
85,11,CITY,부천시,31
86,12,CITY,성남시,31
87,13,CITY,수원시,31
88,14,CITY,시흥시,31
89,15,CITY,안산시,31
90,16,CITY,안성시,31
91,17,CITY,안양시,31
92,18,CITY,양주시,31
93,19,CITY,양평군,31
94,20,CITY,여주시,31
95,21,CITY,연천군,31
96,22,CITY,오산시,31
97,23,CITY,용인시,31
98,24,CITY,의왕시,31
99,25,CITY,의정부시,31
100,26,CITY,이천시,31
101,27,CITY,파주시,31
102,28,CITY,평택시,31
103,29,CITY,포천시,31
104,30,CITY,하남시,31
105,31,CITY,화성시,31
106,1,CITY,강릉시,32
107,2,CITY,고성군,32
108,3,CITY,동해시,32
109,4,CITY,삼척시,32
110,5,CITY,속초시,32
111,6,CITY,양구군,32
112,7,CITY,양양군,32
113,8,CITY,영월군,32
114,9,CITY,원주시,32
115,10,CITY,인제군,32
116,11,CITY,정선군,32
117,12,CITY,철원군,32
118,13,CITY,춘천시,32
119,14,CITY,태백시,32
120,15,CITY,평창군,32
121,16,CITY,홍천군,32
122,17,CITY,화천군,32
123,18,CITY,횡성군,32
124,1,CITY,괴산군,33
125,2,CITY,단양군,33
126,3,CITY,보은군,33
127,4,CITY,영동군,33
128,5,CITY,옥천군,33
129,6,CITY,음성군,33
130,7,CITY,제천시,33
131,8,CITY,진천군,33
132,9,CITY,청원군,33
133,10,CITY,청주시,33
134,11,CITY,충주시,33
135,12,CITY,증평군,33
136,1,CITY,공주시,34
137,2,CITY,금산군,34
138,3,CITY,논산시,34
139,4,CITY,당진시,34
140,5,CITY,보령시,34
141,6,CITY,부여군,34
142,7,CITY,서산시,34
143,8,CITY,서천군,34
144,9,CITY,아산시,34
145,11,CITY,예산군,34
146,12,CITY,천안시,34
147,13,CITY,청양군,34
148,14,CITY,태안군,34
149,15,CITY,홍성군,34
150,16,CITY,계룡시,34
151,1,CITY,경산시,35
152,2,CITY,경주시,35
153,3,CITY,고령군,35
154,4,CITY,구미시,35
155,5,CITY,군위군,35
156,6,CITY,김천시,35
157,7,CITY,문경시,35
158,8,CITY,봉화군,35
159,9,CITY,상주시,35
160,10,CITY,성주군,35
161,11,CITY,안동시,35
162,12,CITY,영덕군,35
163,13,CITY,영양군,35
164,14,CITY,영주시,35
165,15,CITY,영천시,35
166,16,CITY,예천군,35
167,17,CITY,울릉군,35
168,18,CITY,울진군,35
169,19,CITY,의성군,35
170,20,CITY,청도군,35
171,21,CITY,청송군,35
172,22,CITY,칠곡군,35
173,23,CITY,포항시,35
174,1,CITY,거제시,36
175,2,CITY,거창군,36
176,3,CITY,고성군,36
177,4,CITY,김해시,36
178,5,CITY,남해군,36
179,6,CITY,마산시,36
180,7,CITY,밀양시,36
181,8,CITY,사천시,36
182,9,CITY,산청군,36
183,10,CITY,양산시,36
184,12,CITY,의령군,36
185,13,CITY,진주시,36
186,14,CITY,진해시,36
187,15,CITY,창녕군,36
188,16,CITY,창원시,36
189,17,CITY,통영시,36
190,18,CITY,하동군,36
191,19,CITY,함안군,36
192,20,CITY,함양군,36
193,21,CITY,합천군,36
194,1,CITY,고창군,37
195,2,CITY,군산시,37
196,3,CITY,김제시,37
197,4,CITY,남원시,37
198,5,CITY,무주군,37
199,6,CITY,부안군,37
200,7,CITY,순창군,37
201,8,CITY,완주군,37
202,9,CITY,익산시,37
203,10,CITY,임실군,37
204,11,CITY,장수군,37
205,12,CITY,전주시,37
206,13,CITY,정읍시,37
207,14,CITY,진안군,37
208,1,CITY,강진군,38
209,2,CITY,고흥군,38
210,3,CITY,곡성군,38
211,4,CITY,광양시,38
212,5,CITY,구례군,38
213,6,CITY,나주시,38
214,7,CITY,담양군,38
215,8,CITY,목포시,38
216,9,CITY,무안군,38
217,10,CITY,보성군,38
218,11,CITY,순천시,38
219,12,CITY,신안군,38
220,13,CITY,여수시,38
221,16,CITY,영광군,38
222,17,CITY,영암군,38
223,18,CITY,완도군,38
224,19,CITY,장성군,38
225,20,CITY,장흥군,38
226,21,CITY,진도군,38
227,22,CITY,함평군,38
228,23,CITY,해남군,38
229,24,CITY,화순군,38
230,1,CITY,남제주군,39
231,2,CITY,북제주군,39
232,3,CITY,서귀포시,39
233,4,CITY,제주시,39
