CODE_SEQ,CODE,CODE_CATEGORY,CODE_NM,PARENT_CODE 
1,1,AREA,서울,
2,2,AREA,인천,
3,3,AREA,대전,
4,4,AREA,대구,
5,5,AREA,광주,
6,6,AREA,부산,
7,7,AREA,울산,
8,8,AREA,세종,
9,31,AREA,경기,
10,32,AREA,강원,
11,33,AREA,충북,
12,34,AREA,충남,
13,35,AREA,경북,
14,36,AREA,경남,
15,37,AREA,전북,
16,38,AREA,전남,
17,39,AREA,제주,
18,12,FACILITY,관광지,
19,14,FACILITY,문화시설,
20,25,FACILITY,여행코스,
21,28,FACILITY,레포츠,
22,32,FACILITY,숙박,
23,38,FACILITY,쇼핑,
24,39,FACILITY,음식점,
25,1,DAY,월,
26,2,DAY,화,
27,3,DAY,수,
28,4,DAY,목,
29,5,DAY,금,
30,6,DAY,토,
31,7,DAY,일,
32,1,TOURIST,현지인,
33,2,TOURIST,외지인,
34,3,TOURIST,외국인,
35,1,CITY,강남구,1
36,2,CITY,강동구,1
37,3,CITY,강북구,1
38,4,CITY,강서구,1
39,5,CITY,관악구,1
40,6,CITY,광진구,1
41,7,CITY,구로구,1
42,8,CITY,금천구,1
43,9,CITY,노원구,1
44,10,CITY,도봉구,1
45,11,CITY,동대문구,1
46,12,CITY,동작구,1
47,13,CITY,마포구,1
48,14,CITY,서대문구,1
49,15,CITY,서초구,1
50,16,CITY,성동구,1
51,17,CITY,성북구,1
52,18,CITY,송파구,1
53,19,CITY,양천구,1
54,20,CITY,영등포구,1
55,21,CITY,용산구,1
56,22,CITY,은평구,1
57,23,CITY,종로구,1
58,24,CITY,중구,1
59,25,CITY,중랑구,1
60,1,CITY,강화군,2
61,2,CITY,계양구,2
62,3,CITY,미추홀구,2
63,4,CITY,남동구,2
64,5,CITY,동구,2
65,6,CITY,부평구,2
66,7,CITY,서구,2
67,8,CITY,연수구,2
68,9,CITY,옹진군,2
69,10,CITY,중구,2
70,1,CITY,대덕구,3
71,2,CITY,동구,3
72,3,CITY,서구,3
73,4,CITY,유성구,3
74,5,CITY,중구,3
75,1,CITY,남구,4
76,2,CITY,달서구,4
77,3,CITY,달성군,4
78,4,CITY,동구,4
79,5,CITY,북구,4
80,6,CITY,서구,4
81,7,CITY,수성구,4
82,8,CITY,중구,4
83,1,CITY,광산구,5
84,2,CITY,남구,5
85,3,CITY,동구,5
86,4,CITY,북구,5
87,5,CITY,서구,5
88,1,CITY,강서구,6
89,2,CITY,금정구,6
90,3,CITY,기장군,6
91,4,CITY,남구,6
92,5,CITY,동구,6
93,6,CITY,동래구,6
94,7,CITY,부산진구,6
95,8,CITY,북구,6
96,9,CITY,사상구,6
97,10,CITY,사하구,6
98,11,CITY,서구,6
99,12,CITY,수영구,6
100,13,CITY,연제구,6
101,14,CITY,영도구,6
102,15,CITY,중구,6
103,16,CITY,해운대구,6
104,1,CITY,중구,7
105,2,CITY,남구,7
106,3,CITY,동구,7
107,4,CITY,북구,7
108,5,CITY,울주군,7
109,1,CITY,세종특별자치시,8
110,1,CITY,가평군,31
111,2,CITY,고양시,31
112,3,CITY,과천시,31
113,4,CITY,광명시,31
114,5,CITY,광주시,31
115,6,CITY,구리시,31
116,7,CITY,군포시,31
117,8,CITY,김포시,31
118,9,CITY,남양주시,31
119,10,CITY,동두천시,31
120,11,CITY,부천시,31
121,12,CITY,성남시,31
122,13,CITY,수원시,31
123,14,CITY,시흥시,31
124,15,CITY,안산시,31
125,16,CITY,안성시,31
126,17,CITY,안양시,31
127,18,CITY,양주시,31
128,19,CITY,양평군,31
129,20,CITY,여주시,31
130,21,CITY,연천군,31
131,22,CITY,오산시,31
132,23,CITY,용인시,31
133,24,CITY,의왕시,31
134,25,CITY,의정부시,31
135,26,CITY,이천시,31
136,27,CITY,파주시,31
137,28,CITY,평택시,31
138,29,CITY,포천시,31
139,30,CITY,하남시,31
140,31,CITY,화성시,31
141,1,CITY,강릉시,32
142,2,CITY,고성군,32
143,3,CITY,동해시,32
144,4,CITY,삼척시,32
145,5,CITY,속초시,32
146,6,CITY,양구군,32
147,7,CITY,양양군,32
148,8,CITY,영월군,32
149,9,CITY,원주시,32
150,10,CITY,인제군,32
151,11,CITY,정선군,32
152,12,CITY,철원군,32
153,13,CITY,춘천시,32
154,14,CITY,태백시,32
155,15,CITY,평창군,32
156,16,CITY,홍천군,32
