signgucode,areacode,citycode,cityname
11110,1,23,서울특별시 종로구
11140,1,24,서울특별시 중구
11170,1,21,서울특별시 용산구
11200,1,16,서울특별시 성동구
11215,1,6,서울특별시 광진구
11230,1,11,서울특별시 동대문구
11260,1,25,서울특별시 중랑구
11290,1,17,서울특별시 성북구
11305,1,3,서울특별시 강북구
11320,1,10,서울특별시 도봉구
11350,1,9,서울특별시 노원구
11380,1,22,서울특별시 은평구
11410,1,14,서울특별시 서대문구
11440,1,13,서울특별시 마포구
11470,1,19,서울특별시 양천구
11500,1,4,서울특별시 강서구
11530,1,7,서울특별시 구로구
11545,1,8,서울특별시 금천구
11560,1,20,서울특별시 영등포구
11590,1,12,서울특별시 동작구
11620,1,5,서울특별시 관악구
11650,1,15,서울특별시 서초구
11680,1,1,서울특별시 강남구
11710,1,18,서울특별시 송파구
11740,1,2,서울특별시 강동구
26110,6,15,부산광역시 중구
26140,6,11,부산광역시 서구
26170,6,5,부산광역시 동구
26200,6,14,부산광역시 영도구
26230,6,7,부산광역시 부산진구
26260,6,6,부산광역시 동래구
26290,6,4,부산광역시 남구
26320,6,8,부산광역시 북구
26350,6,16,부산광역시 해운대구
26380,6,10,부산광역시 사하구
26410,6,2,부산광역시 금정구
26440,6,1,부산광역시 강서구
26470,6,13,부산광역시 연제구
26500,6,12,부산광역시 수영구
26530,6,9,부산광역시 사상구
26710,6,3,부산광역시 기장군
27110,4,8,대구광역시 중구
27140,4,4,대구광역시 동구
27170,4,6,대구광역시 서구
27200,4,1,대구광역시 남구
27230,4,5,대구광역시 북구
27260,4,7,대구광역시 수성구
27290,4,2,대구광역시 달서구
27710,4,3,대구광역시 달성군
28110,2,10,인천광역시 중구
28140,2,5,인천광역시 동구
28177,2,3,인천광역시 미추홀구
28185,2,8,인천광역시 연수구
28200,2,4,인천광역시 남동구
28237,2,6,인천광역시 부평구
28245,2,2,인천광역시 계양구
28260,2,7,인천광역시 서구
28710,2,1,인천광역시 강화군
28720,2,9,인천광역시 옹진군
29110,5,3,광주광역시 동구
29140,5,5,광주광역시 서구
29155,5,2,광주광역시 남구
29170,5,4,광주광역시 북구
29200,5,1,광주광역시 광산구
30110,3,2,대전광역시 동구
30140,3,5,대전광역시 중구
30170,3,3,대전광역시 서구
30200,3,4,대전광역시 유성구
30230,3,1,대전광역시 대덕구
