시점,발생지역별(1),인구(B) (명),형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범
시점,발생지역별(1),소계,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),위조범죄
시점,발생지역별(1),소계,절도,장물,사기,횡령,배임,손괴,살인,강도,방화,성폭력,폭행,상해,협박,공갈,약취와 유인,체포와 감금,폭력행위등(손괴강요주거침입등),폭력행위등(단체등의구성 활동),위조범죄
2014,서울,10103233,59541,608,57720,10173,1632,11774,160,350,309,8681,39206,10573,1836,1504,40,237,317,270,5828
2014,부산,3519401,22047,1057,20325,2806,511,3824,71,132,107,2341,8600,6754,753,1091,11,77,90,101,1830
2014,대구,2493264,14623,249,10869,1280,202,3114,34,68,81,1570,5805,3733,397,538,8,52,113,59,1046
2014,인천,2902608,9728,272,13087,2338,304,3266,56,115,112,1675,9282,3149,436,442,12,86,111,66,1457
2014,광주,1475884,10432,225,7918,1365,239,2022,21,53,43,1048,6033,1591,260,231,9,37,88,24,655
2014,대전,1531809,11494,67,7201,1032,114,1611,30,84,41,852,2731,2098,228,142,5,37,56,35,621
2014,울산,1166377,5796,41,5367,585,137,1457,23,32,34,547,4001,1748,207,166,5,23,23,33,326
2014,세종,156125,595,5,459,60,16,70,-,1,3,88,89,167,21,7,-,5,5,2,42
2014,경기,12357830,55776,571,53703,10021,1181,14204,191,328,370,6083,36987,12178,2106,1422,50,312,576,218,4652
2014,강원,1544442,6233,15,5948,886,170,2121,25,57,51,707,3835,3138,333,108,7,42,102,26,517
2014,충북,1578933,8251,48,6090,756,132,2035,35,55,97,652,3629,2293,273,130,2,40,73,56,520
2014,충남,2062273,11418,34,9862,1456,215,2075,66,81,93,1162,3502,3040,370,261,9,58,119,47,770
2014,전북,1871560,8938,125,7484,887,137,1548,31,64,55,888,4738,1964,311,247,11,53,64,53,605
2014,전남,1905780,7891,31,8042,1043,185,1733,48,39,74,776,4915,2666,424,157,21,59,130,59,598
2014,경북,2700794,11790,110,11353,1298,190,2770,56,55,88,1063,4358,4296,441,253,8,61,131,66,675
2014,경남,3350257,17250,192,15432,2258,346,3304,73,79,108,1364,6549,5354,563,355,6,72,103,60,1274
2014,제주,607346,4981,18,3148,402,108,1266,18,25,41,366,2365,1098,246,108,2,14,39,37,246
2015,서울,10022181,55463,542,56467,13869,1589,11773,166,279,311,9665,39821,9436,2669,937,45,240,501,221,5115
2015,부산,3513777,20215,931,21255,3143,466,3660,63,169,115,1902,9576,5830,937,799,8,103,140,91,1807
2015,대구,2487829,12790,265,12180,1874,213,3026,41,61,86,1428,7088,3410,626,485,7,50,88,54,1092
2015,인천,2925815,10694,174,13752,2869,239,3374,56,106,90,2020,10636,2891,670,314,13,102,125,53,1205
2015,광주,1472199,8455,121,8122,1491,191,1797,18,45,48,1007,5706,1535,381,146,5,38,41,20,687
2015,대전,1518775,9565,54,7570,1258,106,1818,25,65,41,887,4404,2021,422,141,4,47,55,26,631
2015,울산,1173534,3485,22,3480,483,111,975,20,9,26,316,2714,1085,172,71,1,17,35,27,246
2015,세종,210884,647,4,569,127,14,91,3,-,5,67,153,159,42,7,1,5,4,1,38
2015,경기,12522606,52091,642,58429,13105,1286,14660,228,313,424,6791,41605,11857,3823,976,66,308,441,208,4340
2015,강원,1549507,5990,28,6450,1161,151,2090,34,35,49,709,3989,3079,463,98,3,56,101,28,650
2015,충북,1583952,7582,29,6873,1009,133,1971,35,45,37,741,4085,2237,432,105,5,49,95,67,606
2015,충남,2077649,10627,51,10357,1692,230,2079,56,51,71,1023,3803,2898,467,245,5,54,98,47,781
2015,전북,1869711,8513,1087,9021,1004,160,1637,31,47,51,860,4961,2098,438,228,7,61,89,71,635
2015,전남,1908996,7367,38,8409,1141,220,1924,36,38,72,792,5541,2898,550,151,13,68,107,64,990
2015,경북,2702826,10869,110,11824,1525,203,2870,47,72,77,954,5311,4251,672,290,3,79,125,39,779
2015,경남,3364702,17843,157,19381,2465,346,4083,72,104,109,1461,9606,6000,947,316,5,87,131,84,1045
2015,제주,624395,4228,8,3481,579,185,1353,27,33,34,440,2637,1015,396,47,4,19,31,22,231
2016,서울,9930616,47005,479,53506,15997,1397,11713,155,265,287,8442,40839,7818,3123,915,38,315,193,22,4641
2016,부산,3498529,16842,474,21031,3138,436,3487,77,139,95,1737,10246,5180,1071,499,19,97,44,16,1532
2016,대구,2484557,9195,162,10964,2003,224,2872,32,55,68,1202,7657,3143,638,270,8,62,39,4,817
2016,인천,2943069,10033,128,13632,3078,286,3671,53,89,83,2132,12241,2553,918,326,11,160,58,19,1063
2016,광주,1469214,6098,60,7048,1595,181,1561,17,49,38,874,4983,1481,414,174,9,44,22,4,579
2016,대전,1514370,7031,47,7476,1424,117,1550,25,36,44,808,5322,1625,555,184,4,38,27,3,594
2016,울산,1172304,2727,27,3099,444,86,921,14,21,23,300,2579,1018,298,61,1,19,11,1,224
2016,세종,243048,639,4,582,190,11,161,2,4,2,70,392,187,47,35,2,3,-,-,43
2016,경기,12716780,44873,377,57997,13179,1108,15015,256,193,334,6886,44073,10620,4348,983,56,362,207,43,4066
2016,강원,1550806,5201,22,6740,1042,147,2216,31,29,46,741,5123,2833,541,123,7,41,45,3,535
2016,충북,1591625,6146,44,6798,1130,130,2046,32,26,55,780,4632,2025,514,118,1,49,27,16,560
2016,충남,2096727,8751,34,9777,1545,243,2375,55,47,91,997,4303,2744,669,209,7,61,38,8,703
2016,전북,1864791,6082,47,10043,1008,169,1583,29,39,44,702,5169,1777,474,96,5,60,33,35,609
2016,전남,1903914,6244,19,7816,1142,547,1925,37,29,66,808,5744,2436,633,158,10,75,32,7,601
2016,경북,2700398,9320,51,12440,1573,213,2981,48,50,77,926,5924,3713,748,256,6,77,39,5,745
2016,경남,3373871,13881,100,18408,2831,409,3920,68,84,99,1406,9650,5528,1079,291,15,97,44,2,1024
2016,제주,641597,3505,11,3243,750,53,1363,17,26,25,546,3194,1080,374,65,4,19,19,2,233
2017,서울,9857426,41293,411,52904,15932,1418,11037,147,172,221,10149,37696,6634,3025,921,52,317,183,5,4721
2017,부산,3470653,15892,461,19672,3518,410,3720,64,102,87,2269,10612,4690,1046,453,19,90,49,16,1136
2017,대구,2475231,8324,67,10959,2161,210,2647,48,39,71,1169,7087,3006,715,225,9,81,43,2,791
2017,인천,2948542,9219,107,12748,2942,228,3470,35,74,80,2472,12002,2322,955,427,16,238,68,10,1041
2017,광주,1463770,4877,32,6809,1558,97,1484,12,33,35,876,5054,1338,376,148,5,46,14,7,451
2017,대전,1502227,6282,39,6963,1403,128,1476,22,43,39,987,5425,1282,526,129,6,52,20,1,629
2017,울산,1165132,2342,16,3345,472,112,885,16,12,25,295,2321,958,249,52,4,18,6,2,224
2017,세종,280100,583,2,790,253,17,170,6,3,3,136,297,166,52,22,-,6,1,-,59
2017,경기,12873895,41511,306,56356,13417,1166,14536,186,213,300,7140,42433,9158,4380,1228,57,383,195,31,4209
2017,강원,1550142,5278,20,6087,1005,123,2053,33,27,55,757,5099,2485,476,129,1,54,32,8,613
2017,충북,1594432,5569,18,7267,1149,142,1836,37,30,45,864,4071,1716,493,140,5,67,33,12,635
2017,충남,2116770,8108,26,9542,1653,234,2420,50,33,86,1033,4996,2509,628,170,6,77,47,3,732
2017,전북,1854607,5447,191,8345,1080,160,1543,25,28,55,739,4972,1706,488,131,4,64,20,27,623
2017,전남,1896424,5228,20,7008,1046,170,1817,38,21,76,837,5317,2266,571,141,6,52,33,9,530
2017,경북,2691706,8690,110,11642,1612,223,2731,51,49,79,1069,5845,3116,712,265,11,77,37,1,676
2017,경남,3380404,12483,105,17845,2751,336,3509,67,76,86,1563,9681,4952,982,335,14,81,49,3,1353
2017,제주,657083,3229,3,3360,658,63,1224,21,35,15,469,2590,1072,333,65,1,25,13,3,1079
2018,서울,9765623,39306,194,57121,16659,1536,10913,150,145,292,9388,35525,5639,3220,945,49,259,160,18,4049
2018,부산,3441453,14464,291,23114,3740,376,3551,55,87,108,2012,10802,4074,1158,458,12,98,29,11,1140
2018,대구,2461769,8204,45,12431,2307,190,2719,33,48,69,1276,7009,2725,761,206,5,67,27,3,930
2018,인천,2954642,9483,65,15666,3468,295,3578,44,37,77,2154,12119,2044,1111,391,16,138,71,10,855
2018,광주,1459336,4927,27,7923,1605,161,1443,24,28,34,891,5153,1184,395,130,4,50,23,16,598
2018,대전,1489936,5596,26,8186,1414,105,1510,17,51,43,1143,5857,1102,621,165,2,43,19,-,523
2018,울산,1155623,2310,5,4057,486,56,856,7,16,22,306,2564,805,192,53,2,16,9,-,159
2018,세종,314126,588,-,1052,216,5,176,5,5,4,125,310,141,68,11,-,2,4,-,42
2018,경기,13077153,41207,172,65076,15041,1155,15186,209,170,361,7165,42805,8483,4991,1110,53,376,173,27,3444
2018,강원,1543052,4315,9,6983,1083,139,1890,27,17,41,852,4655,1903,517,103,5,35,44,9,429
2018,충북,1599252,5432,10,8464,1242,152,1900,32,33,49,822,4077,1558,543,122,7,61,13,16,524
2018,충남,2126282,8015,13,11600,1779,224,2444,36,41,92,1081,5458,2319,746,213,9,76,41,-,636
2018,전북,1836832,5689,13,9383,1091,177,1546,39,28,49,826,4823,1754,508,122,5,47,35,40,922
2018,전남,1882970,5065,11,8361,1991,557,1943,35,29,45,894,5376,2022,734,152,7,58,31,2,548
2018,경북,2676831,7681,17,14275,1557,193,2671,49,36,65,1132,5882,2789,711,251,7,55,35,2,535
2018,경남,3373988,12188,64,20428,2781,392,3411,71,60,106,1544,9394,4166,1121,311,13,89,40,9,1411
2018,제주,667191,2988,3,4446,712,75,1251,16,10,21,493,2691,958,380,80,3,24,15,1,790
2019,서울,9729107,42362,164,61178,17648,1489,10723,160,157,252,9370,34070,5079,3950,1138,64,254,163,27,4121
2019,부산,3413841,14628,236,27083,4036,478,3846,69,86,97,2065,11263,3748,1504,420,16,64,40,17,1205
2019,대구,2438031,9272,18,15389,2746,229,2800,42,36,61,1290,7007,2441,955,191,2,85,41,4,829
2019,인천,2957026,10149,186,16958,4319,262,3480,51,60,72,2093,12592,1814,1319,425,12,215,52,2,1127
2019,광주,1456468,5018,9,9079,1888,233,1529,22,30,42,855,5351,1153,593,147,4,65,18,5,644
2019,대전,1474870,5905,15,9583,1336,132,1491,23,25,48,1027,4872,1052,684,168,5,44,18,-,507
2019,울산,1148019,2181,8,4411,457,70,818,17,14,14,335,2001,764,270,54,1,21,11,1,172
